"AED Serial Number",Model/Type,"School Location","School Name","School Code","Building Code",Region,"Is Cooling Center?",City,Zip,Floor,"Summer School?",Complete?,"Date Completed",Invoiced?,Recalled?,RMA?,"AED Location","Pads A","Pads B","Pediatric Pads","G 2005","Spare Battery Install Before Date",Battery,"Medical Director","Municipal Filing","Num Drills","Num Service Calls","Service History","Last Service Date","Trainer Name","# Trained","Contact Name","Contact Phone","Contact Email"
0703096657,NYC100_FR2,"71 East 94th Street","Hunter College High School - SERVICE CALL ONLY",03-M-000,M490,,N,"New York",10128,,No,No,,No,No,No,PSAL,2009-02-01,2009-05-01,2009-04-01,N,2009-08-01,,,,8,36,"Battery package open.  Not available for inspection 3/08 and 6/08 and 10/08.  Not available for inspection 6/09 & 12/09 (new pads are needed!)
Not available for inspection 01/10, 
Unit Not available for inspection. 09/10  *Unit MISSING 9/13
AED Marked Unavailable 

AED Marked Unavailable 
",2009-09-03,"Peter Shikar",23,"Neil Potter",212-501-2346,npotter@hccs.hunter.cuny.edu
0703096844,NYC100_FR2,"1600 Rockaway Parkway","High School for Medical Professions",18-K-633,,,N,Brooklyn,11236,,No,No,,No,No,No,PSAL,2016-02-01,2016-02-01,2009-12-01,Y,2014-03-01,,,,23,25,"Not available for inspection 11/07, 1/08 and again 2/08  *Not available for inspection/Out with coach  3/09
Out with Coach: 2016-12-23 09:38:06
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2008-09-15,,2,"Joseph Mento",718-290-8667,jmento@schools.nyc.gov
070309696,NYC100_FR2,"5800 Tilden Avenue","It Takes a Village Academy",18-K-563,,,N,Brooklyn,11203,,No,No,,No,No,No,"3rd 327 outside",2006-08-01,2006-08-01,2007-01-01,N,2009-08-01,,,,17,15,"Unit serial # probably mistaken for MISSING unit 0703096966.  1/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2023-01-11,,12,"Jill DeSiano",718-629-2307,JDesian@schools.nyc.gov
0703096966,NYC100_FR2,"5800 Tilden Avenue","It Takes a Village Academy",18-K-563,,,N,Brooklyn,11203,,No,No,,No,No,No,"Principal's Office",2011-05-01,2010-09-01,2012-01-01,Y,2014-10-01,,,,17,15,"*AED cabinet requested 3/09  *Out with coach/not available 4/10  *Unit not available for inspection/Principal out.  1/11  *Unit MISSING (was corrected in database). 1/11
AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.


AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2011-01-18,,12,"Jill DeSiano",718-629-2307,JDesian@schools.nyc.gov
0703096983,NYC100_FR2,"410 East 100 Street","M.S. 224 Manhattan East School for Arts & Academics",04-M-224,,,N,"New York",10029,,No,No,,No,No,No,"Second Floor",2009-02-01,2009-02-01,2019-12-01,Y,2009-08-01,,,,21,20,"No case.  Unit unavailable for inspection.  Whereabouts unknown.  6/08
AED Marked Unavailable 

AED Marked Unavailable 2017-10-13

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed. (4/2025)",2007-05-16,"Damian Carrera",8,"Bryan Marsey",212-860-6047,bmarsey@schools.nyc.gov
0703097392,NYC100_FR2,"350 67 Street","High School of Telecommunication Arts and Technology",20-K-485,,,N,Brooklyn,11220,,No,Yes,"2017-06-26 10:10:19",No,No,No,"PSAL ",2016-03-01,2016-03-01,2016-01-01,Y,2014-10-01,,,,40,34,"Ancillary supplies need replacing.  Requested 1/08  Unit not available for inspection 5/08 & 1/09.  Spare battery and FR kit requested 6/08  *FR kit requested 4/09 and again 11/12
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2024-02-08 14:24:05
Out with Coach: 2025-01-31 14:18:26",2014-05-16,"John McKoll",18,"Grace Murray",,gmurray4@schools.nyc.gov
0703097907,NYC100_FR2,"351 West 18 Street","Humanities Preparatory Academy",02-M-605,,,N,"New York",10011,,No,No,,No,No,No,"PSAL ",2009-06-01,2009-06-01,2009-03-01,N,2014-05-01,,,,21,24,"Unit unavailable for inspection  10/07 and 5/08  Unit whereabouts unknown.  Missing?  10/08
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2024-06-20 10:33:27",2009-10-08,"Taylor Litz",1,"Armando Ortiz","917-848-9104 Ext.226",Aortiz10@schools.nyc.gov
0703097928,NYC100_FR2,"2780 Reservoir Avenue","Kingsbridge International High School",10-X-268,,,N,Bronx,10468,,No,No,,No,No,No,PSAL,2007-02-01,2007-02-01,2007-01-01,Y,2009-08-01,,,,12,15,"Unit unavailable for inspection 1/08, 5/08 & 6/08 (out with coaches)
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.
AD, Principal, CM and HT notified missing and police report needed SF9/30/19 (4/2025)",2011-05-05,"Damian Carrera",1,"Dom Rasetina",914-830-2936,"drasetina@schools.nyc.gov "
0703097972,NYC100_FR2,"48-10 31 Avenue","William Cullen Bryant High School",30-Q-445,,4,N,"Long Island City",11103,,No,No,,No,No,No,PSAL,2007-01-01,2007-01-01,2007-02-01,N,2009-07-01,,,,41,38,"Not available for inspection 6/09/07, 10/07 and again on 3/08
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2008-11-26,"Peter Shikar",27,"Sean O'Shea",718-721-5404,soshea6@schools.nyc.gov
0703098041,NYC100_FR2,"245 East 56 Street","Art and Design High School",02-M-630,,9,N,"New York",10022,,No,No,,No,No,No,"PSAL-OLD LOCATION",2011-05-01,2012-02-01,2012-04-01,N,2014-09-01,,,,37,32,"Unit no longer listed as *MISSING* & needs updating.  2/09
Unit verified. School moved to new location  *New case requested 10/12  *Unit unavailable 10/12 and again 4/13  *Missing - Cardiac Science took unit years ago.  PS
AED Marked Unavailable 

AED Marked Unavailable 
",2012-09-05,"Taylor Litz",5,"Barrington McCalla",6318970194,bmccall2@schools.nyc.gov
0703098052,NYC100_FR2,"2780 Reservoir Avenue","Kingsbridge International High School",10-X-268,,,N,Bronx,10468,,No,Yes,"2015-02-13 17:11:27",No,No,No,PSAL,2017-05-01,2017-05-01,2017-10-01,Y,2022-02-01,,,,12,15,"Unit unavailable for inspection 6/08  *Replaced FR kit 10/09  *No inspection 11/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.
AD, Principal, CM and HT notified missing and police report needed SF9/30/19 (4/2025)",2016-03-01,"Damian Carrera",1,"Dom Rasetina",914-830-2936,"drasetina@schools.nyc.gov "
0703098641,NYC_FR2,"245 East 56 Street","Art and Design High School",02-M-630,,9,N,"New York",10022,,No,No,,No,No,No,"Nurse's Office - Rm 207",2010-01-01,2010-01-01,2010-03-01,Y,2014-04-01,,,,37,32,"New battery requested 6/08  *Unit not available for inspection 12/08 and again on 10/09, *Unavailable 03/10 *Attempted service call 5/10 - Unit could not be found; Not in nurse's office.  *UNIT LOCATED IN OLD BUILDING; NO LONGER EXISTS HERE.
AED Marked Unavailable 

AED Marked Unavailable 
",2009-05-01,"Taylor Litz",5,"Barrington McCalla",6318970194,bmccall2@schools.nyc.gov
0905167915,NYC100_FR2,"1186 Carroll Street","Medgar Evers College Preparatory School",17-K-590,,,N,Brooklyn,11225,,No,No,,No,No,No,"PSAL  ",2015-03-01,2015-03-01,2015-05-01,Y,2014-03-01,,,,45,44,"*Not available for inspection/Out with coach 3/10  *Unit MISSING 1/11  *Unit no longer missing.  Now located at Medgar Evers. 10/12  *Spare battery requested 2/13
AED Marked Unavailable 2017-10-31
Still missing 11/9/22

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2025-01-31 11:29:10",2022-11-09,,8,"Dave Burke",718-703-5400,dburke2@schools.nyc.gov
1105173491,NYC100_FR2,"351 West 18 Street","Humanities Preparatory Academy",02-M-605,,,N,"New York",10011,,No,No,,No,No,No,PSAL,2013-06-01,2013-06-01,2012-12-01,N,2015-01-01,,,,21,24,"Unit unavailable for inspection.  10/07  *PSAL unit; travels w/ teams.  *Unavailable for inspection 12/12  *Unit not available 6/14.  *Unit MISSING 10/14

missing
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2024-06-20 10:33:27",2011-11-15,"Taylor Litz",1,"Armando Ortiz","917-848-9104 Ext.226",Aortiz10@schools.nyc.gov
1105173909,NYC100_FR2,"347 Baltic Street","Cobble Hill School of American Studies",15-K-519,,8,N,Brooklyn,11201,,No,No,,No,No,No,PSAL,2015-06-01,2015-06-01,2015-05-01,Y,2012-01-01,,,,36,23,"Battery opened.  *Not available for inspection 3/08  Missing 6/08  *Zipper broken 1/11  *Unit not located- Missing? 6/11  *Spare battery requested 10/12
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2014-03-27,"Jonathan Cruz",8,"Madeline Colon",7184039544,mcolon38@schools.nyc.gov
1205177870,NYC100_FR2,"1396 Broadway","Brooklyn High School for Law and Technology",16-K-498,,8,N,Brooklyn,11221,,No,No,,No,No,No,PSAL,2012-01-01,2012-01-01,2013-04-01,Y,2015-05-01,,,,36,27,"Not available for inspection 1/09  *Unit MISSING; Was swapped out with another AED from a different school.
notify to file police report - 5/23/2011
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2011-05-23,,10,"Michael Lloyd ",6462401575,mlloyd4@schools.nyc.gov
1205178143,NYC_FR2,"351 West 18 Street","Humanities Preparatory Academy",02-M-605,,,N,"New York",10011,,No,No,,No,No,No,"PSAL-Boys Basketball",2013-01-01,2012-11-01,2012-08-01,Y,2014-02-01,,,,21,24,"Battery needed.  Unit not available for inspection 5/08  *Scissors missing.  Requested new 11/10  *Unit not available 11/11
location unknown: 6/12/12  *Unavailable 12/12 and again 6/14  *Unit MISSING 10/14
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2024-06-20 10:33:27",2011-08-31,"Taylor Litz",1,"Armando Ortiz","917-848-9104 Ext.226",Aortiz10@schools.nyc.gov
4444444,FRX,"305 Seventh Avenue","Emergency Skills, Inc.",00-M-000,,1,N,"New York",10001,,No,No,,No,No,No,main,2021-07-01,2021-01-01,2020-03-01,N,2030-05-01,2020-08-01,,,6,9,"Out with Coach: 2019-01-24 12:51:33
Error With Unit: 2026-02-20 10:59:13
Error Description: testing app",2026-02-20,"Taylor Litz",25,"Sarah Gillen",212-564-6833,sarahg@emergencyskills.com
504118979,NYC_FR2,"3000 East Tremont Avenue","Herbert H. Lehman High School",08-X-405,,LEHMAN,N,Bronx,10461,,No,Yes,"2008-04-18 14:31:06",No,No,No,PSAL,2011-05-01,2011-05-01,2011-09-01,Y,,,,,26,39,"Unit not available for inspection.  12/07  *Unit MISSING; Police report done 3 yrs ago.  12/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 


MISSING - Police Report Needs to be Filed. (4/2025)",2011-05-10,"Damian Carrera",13,"Jason Maass",718-904-4200,JMaass3@schools.nyc.gov
7890123532,,"305 Seventh Avenue","Emergency Skills, Inc.",00-M-000,E888,1,N,"New York",10001,,No,No,,No,No,No,coach,2037-04-01,2033-04-01,,N,1969-12-01,,,,6,9,"Out with Coach:  
Out with Coach:  
Out with Coach: 2016-04-08 11:07:58
Out with Coach: 2019-01-09 13:43:48",2019-01-24,"Taylor Litz",25,"Sarah Gillen",212-564-6833,sarahg@emergencyskills.com
789456,,"305 Seventh Avenue","Emergency Skills, Inc.",00-M-000,,1,N,"New York",10001,,No,No,,No,No,No,"Main Entrance",2020-07-01,2020-07-01,,N,2019-07-01,,,,6,9,"Error With Unit: 2016-04-08 11:07:58
Error Description: triple",2019-01-24,"Taylor Litz",25,"Sarah Gillen",212-564-6833,sarahg@emergencyskills.com
B09F-01901,FRX,"75 West 205 Street","Bronx High School Of Science",10-X-445,,1,N,Bronx,10468,,No,Yes,"2009-09-10 15:46:10",No,No,No,PSAL,2013-09-01,2013-09-01,,Y,2015-04-01,,,,41,40,"Out with coach/Not available 6/10  *Out with coach 1/11  *Not available for inspection 9/13
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 


MISSING - Police Report Needs to be Filed.
police report advised again 6/25/2019 SF
Emailed about police report 2.23.2024 RC (4/2025)",2014-10-14,"Damian Carrera",22,"Michael McGrath","718 817 7769",mcgrath@bxscience.edu
B09F-02202,FRX,"75 West 205 Street","Bronx High School Of Science",10-X-445,,1,N,Bronx,10468,,No,Yes,"2009-09-10 15:49:35",No,No,No,PSAL,2026-07-01,2026-07-01,key,Y,2027-10-01,2022-06-01,,,41,40,"Out with coach 1/11
Out with Coach: 2016-10-21 12:32:01
AED Marked Unavailable 

Out with Coach: 2019-03-26 14:30:36
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2025-11-06,"Damian Carrera",22,"Michael McGrath","718 817 7769",mcgrath@bxscience.edu
B09H-00911,FRX,"611 Beach 19 Street","Peninsula Preparatory Academy Charter School",84-Q-170,,,N,"Far Rockaway",11691,,No,Yes,"2010-06-07 12:49:52",No,No,No,"Main Office 1st Floor",2014-04-01,2014-03-01,,N,,,,,44,27,"Unit stored in utility closet.  Advised bus. mgr to move unit to outside in corridor.  5/10  *Unit removed from closet and placed in hallwway. 6/10
School advised to move AED cabinet out of the office 12/09/10  *Mr Pierre trying to locate this unit; currently at Stella Maris Campus.  12/12
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2012-12-14,"Pier Campbell",7,"Jason Pierre",646-235-1958," jpierre@peninsulaprep.org"
B09H-02641,FRX,"105 Tech Place","George Westinghouse Career and Technical Education High School",13-K-605,,8,N,Brooklyn,11201,PSAL,No,Yes,"2009-10-15 09:21:38",No,No,No,PSAL,2019-12-01,2020-03-01,,N,2023-05-01,,,,29,29,"Spare requested 6/16
Out with Coach: 2017-06-06 12:33:35
Out with Coach: 2017-06-06 12:33:35
AED Marked Unavailable 

Out with Coach: 2017-10-10 12:17:24
AED Marked Unavailable 

Out with Coach: 2018-02-13 14:07:00
AED Marked Unavailable 

Out with Coach: 2019-03-01 13:43:25
Out with Coach: 2019-04-15 14:00:31
AED Marked Unavailable 

Out with Coach: 2020-10-08 09:33:28
Out with Coach: 2021-05-14 09:25:22
AED Marked Unavailable 

AED Marked Unavailable 
",2018-12-11,"Jonathan Cruz",7,"Steven Chung",,schung@schools.nyc.gov
B09H-02644,FRX,"105 Tech Place","George Westinghouse Career and Technical Education High School",13-K-605,,8,N,Brooklyn,11201,PSAL,No,Yes,"2009-10-15 09:21:44",No,No,Yes,PSAL,2026-01-01,2026-01-01,,N,2028-05-01,2024-01-01,,,29,29,"aed was dead, installed and replaced battery 10/10/2017
Out with Coach: 2018-02-13 14:07:00
AED Marked Unavailable 

Out with Coach: 2019-03-01 13:43:25
missing gloves, razor 5.2021 
Out with Coach: 2022-05-23 09:50:58
Out with Coach: 2022-05-23 09:50:58
Out with Coach: 2022-06-10 12:09:27",2025-06-02,"Jonathan Cruz",7,"Steven Chung",,schung@schools.nyc.gov
B09H-02647,FRX,"411 East 76 Street","Eleanor Roosevelt High School",02-M-416,,9,N,"New York",10021,PSAL,No,Yes,"2009-10-06 14:55:04",No,No,Yes,PSAL,2026-07-01,2026-07-01,key,N,2029-08-01,2024-06-01,,,37,34,"Scissors requested 9/11  *Out with coach 12/12 and again 5/13  *Not available 12/13  *Requested FRK 5/14
Out with Coach: 2016-09-30 13:20:07
Out with Coach: 2018-04-24 13:29:32
AED Marked Unavailable 

Out with Coach: 2018-04-24 13:29:32
Out with Coach: 2019-03-15 08:56:46
AED Marked Unavailable 

Out with Coach: 2019-09-23 13:04:47
AED Marked Unavailable 

Out with Coach: 2019-10-10 09:18:03
AED Marked Unavailable 

Out with Coach: 2022-03-30 12:15:22
Out with Coach: 2022-05-20 09:36:23
Out with Coach: 2022-10-24 14:20:00",2025-12-16,"Peter Shikar",16,"Genna Sperling",212-772-1220,gsperling@schools.nyc.gov
B09H-02703,FRX,"37-02 47 Avenue","Queens Vocational and Technical High School",24-Q-600,,4,N,"Long Island City",11101,PSAL,No,Yes,"2009-10-27 15:01:57",No,No,No,PSAL,2015-06-01,2015-07-01,,N,2015-06-01,,,,42,34,"Unit inspected at coaches clinic. 09/09/11  *Unit MISSING; Coach's car was stolen with this AED inside. 5/15 Mr. Maloney notified to obtain a police report. 6/15 SF
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

MISSING - Police Report Needs to be Filed.
emailed about police report 2.26.2024 RC (4/2025)",2014-12-03,"Peter Shikar",12,"David Jackson",516-426-7308,djackson16@schools.nyc.gov
B09J-00655,FRX,"2 Aberdeen Street","Bushwick Ascend Charter Middle School",84-K-793,,BACS,N,Brooklyn,11207,,No,No,,No,No,No,missing,2017-05-01,2017-05-01,,Y,2015-08-01,,,,24,27,"AED Marked Unavailable 

Successful	8/10/2015	03:03 PM	christian
School states they do not have an employee named christian. AED is missing. 10/30 SF - 1/9/2015
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed. trying to locate (5/2025)",2015-01-09,"Rodney Riddick",6,"raymond johnson",347-598-1279,rjohnson@ascendlearning.org
B09K-00369,FRX,"57-00 223 Street","Benjamin N. Cardozo High School",26-Q-415,,3,N,Bayside,11364,PSAL,No,Yes,"2010-01-26 11:57:03",No,No,Yes,PSAL,2025-11-01,2026-07-01,,N,2028-05-01,2022-02-01,,,39,45,"Spare battery requested 11/11  *Battery dead.  Replaced with spare.  Placed new battery as spare.  3/12
aed was chirping thus I installed and replace their spare battery - 11/9/2016
Out with Coach: 2021-06-02 12:23:48
AED Marked Unavailable 

Out with Coach: 2023-06-14 11:26:25
Out with Coach: 2026-01-16 10:10:26",2025-06-11,"Steve Rizzo",22,"Daniel scarola",718-279-6500,dscarol2@schools.nyc.gov
B09K-01772,FRX,"57-00 223 Street","Benjamin N. Cardozo High School",26-Q-415,,3,N,Bayside,11364,PSAL,No,Yes,"2010-01-26 11:57:56",No,No,Yes,PSAL,2026-07-01,2026-07-01,key,N,2027-10-01,2022-02-01,,,39,45,"Replaced FR kit. 11/14
Out with Coach: 2022-12-07 11:36:30
Out with Coach: 2023-06-14 11:26:25
Out with Coach: 2023-12-12 12:21:59",2026-01-16,"Steve Rizzo",22,"Daniel scarola",718-279-6500,dscarol2@schools.nyc.gov
B09K-01956,FRX,"1110 Boston Road","Bronx International High School",09-X-403,,,N,Bronx,10456,,No,Yes,"2009-12-31 13:20:57",No,No,Yes,PSAL,2020-11-01,2020-11-01,,N,2023-12-01,2019-03-01,,,18,21,"Mr.Garcia sts that this aed was never recieved - 10/15/2015
AED Marked Unavailable 
missing 9/13/18 Police report advised 

Out with Coach: 2018-04-16 12:43:55
AED Marked Unavailable 
Not available for inspection. - 09/13/18 (Damian Carrera)
AED Marked Unavailable 
Missing Police report advised 12/5/2018
AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2022-06-01 12:23:21
Out with Coach: 2022-06-01 12:23:21
Out with Coach: 2022-06-01 12:23:21
Out with Coach: 2022-06-03 12:33:03",2021-12-20,"Damian Carrera",2,"Joaquin Vega",646-275-4831,jvega4@schools.nyc.gov
B09L-02096,FRX,"1200 Manor Road","Susan E. Wagner High School",31-R-460,,7,N,"Staten Island",10314,,No,Yes,"2017-06-13 14:18:06",No,No,Yes,PSAL,2028-04-01,2026-01-01,key,Y,2023-04-01,2017-10-01,,,38,30,"Spare batt. requested 6/15
Out with Coach: 2022-03-30 13:28:55
AED Marked Unavailable 

Out with Coach: 2022-12-12 13:15:35
Out with Coach: 2023-06-07 14:31:44
Out with Coach: 2024-01-10 11:20:11
Out with Coach: 2025-05-28 13:26:49
Out with Coach: 2025-05-28 13:26:49",2026-01-12,"James Coponi",28,"Scott McBratney",718-698-4200,smcbrat@schools.nyc.gov
B09L-02148,FRX,"510 Waverly Avenue","Achievement First Endeavor Elementary School",84-K-508,,"Achievement ",N,Brooklyn,11238,,No,Yes,"2015-10-14 09:28:42",No,No,No,"MISSING (6th Floor)",2017-12-01,2017-12-01,,N,2025-01-01,2021-01-01,,,29,20,"AED Found and installed, 10-5-15
AED Missing (and replaced) - 05/01/17
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2016-05-25,"Blake Karnes",12,"anika locklear cidcone",718-622-4786,anikalocklear@achievementfirst.org
B09L-02149,FRX,"1200 Manor Road","Susan E. Wagner High School",31-R-460,,7,N,"Staten Island",10314,,No,Yes,"2017-06-09 11:20:15",No,No,No,PSAL,2012-05-01,2012-09-01,,Y,2015-08-01,,,,38,30,"Unit MISSING 3/12.  AD will try to locate. VJM  POLICE REPORT FILED 11/15
AED Marked Unavailable 

Police report for missing unit B09L-02149 has now been filed.  JC 11/15 - 10/9/2013
Out with Coach: 2018-02-28 15:00:47
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2013-10-09,"James Coponi",28,"Scott McBratney",718-698-4200,smcbrat@schools.nyc.gov
B10B-03557,FRX,"1087 Ocean Avenue","School of Science & Technology Annex",22-K-152,K776,,N,Brooklyn,11230,,No,Yes,,No,No,No,"Main Entrance",2026-07-01,2026-07-01,key,N,2025-03-01,2022-04-01,,,32,17,"Out with Coach: 2017-05-08 09:33:30",2025-11-10,,2,"Dorothea Willis",718-434-0243,dwillis@schools.nyc.gov
B10C-03639,FRX,"362 Schermerhorn Street","Khalil Gibran International Academy",15-K-592,K806,,N,Brooklyn,11217,,No,Yes,,No,No,No,"Outside Room 315",2026-07-01,2026-07-01,key,N,2024-08-01,2028-06-01,,,21,16,"alarm malfunctions in cabinet. New one should be sent to Winston Hamann - 10/25/18 (Dan Ermert)",2024-04-04,"Jonathan Cruz",5,"Amanda Hunter",718-237-2502,AHunter3@schools.nyc.gov
B10C-03695,FRX,"383 State Street","P369K - Coy L. Cox School (K369)",75-K-369,K369,75K369,N,Brooklyn,11217,,No,Yes,,No,No,No,"main entrance",2026-07-01,2026-07-01,key,N,2027-05-01,2022-04-01,,,37,20,"4/27/2022 - replaced battery on the phone with Custodian - SG
main entrance - 12/20/2016",2025-12-16,"Jonathan Cruz",11,"Lorraine Lozito",718-852-1701,llozito@schools.nyc.gov
B10C-03698,FRX,"141 Macon Street","Uncommon Bed-Stuy West Middle School",84-K-517,,UC,N,Brooklyn,11216,,No,Yes,,No,No,No,"3rd Floor, Outside Rm 334",2026-05-01,2028-03-01,key,N,2028-01-01,2024-06-01,,,14,9,"needs response kit - 01/04/19 (Michael Russo)",2024-09-17,"Rodney Riddick",9,"Mikayla Kimble",718-636-0360,mikayla.kimble@uncommonnyc.org
B10C-03959,FRX,"425 Henry Street","P.S. 029 John M. Harrigan",15-K-029,,,N,Brooklyn,11201,,No,Yes,"2015-06-25 16:26:19",No,No,No,"school safety main entrance ",2028-03-01,2026-02-01,key,N,2026-02-01,2023-05-01,,,38,25,"Unit out with coach at a game. 5/15
wall cab needs new batteries  - 12/10/18 (Dan Ermert)",2026-02-12,"Jonathan Cruz",11,"Dawn Pender",718-330-9277,dpender@schools.nyc.gov
B10C-03973,FRX,"170 Gates Avenue","P.S. 056 Lewis H. Latimer",13-K-056,K056,8,N,Brooklyn,11238,,No,Yes,,No,No,No,"3rd Floor Across From Rm 311",2026-07-01,2026-07-01,key,N,2025-01-01,2022-09-01,,,33,19,,2026-02-06,"Blake Karnes",10,"Yanique Best",718-857-3149,ybest@schools.nyc.gov
B10E-00270,FRX,"138-30 Lafayette Street","Robert H. Goddard High School of Communication Arts and Technology",27-Q-308,,,N,"Ozone Park",11417,,No,Yes,"2011-11-14 14:01:45",No,No,No,PSAL,2028-03-01,2028-03-01,,Y,2028-05-01,2023-11-01,,,5,8,"Out with coach 9/13
Out with Coach: 2016-12-21 10:50:55
AED Marked Unavailable 

Out with Coach: 2021-12-07 11:25:50
Out with Coach: 2022-06-09 12:26:53
Out with Coach: 2022-06-09 12:26:53
Out with Coach: 2023-05-30 10:27:09
Out with Coach: 2024-05-13 11:55:53",2025-12-05,"Vinny Catania ",10,"Dr. Joseph Birgeles",718-848-8357,
B10E-00331,FRX,"188-04 91 Avenue","Cambria Heights Academy",29-Q-326,Q799,,N,Hollis,11423,,No,Yes,"2011-02-10 11:27:59",No,No,No,"Main Entrance - 1st Floor",2027-12-01,2027-12-01,key,Y,2028-05-01,2022-01-01,,,29,30,,2025-11-10,"Steve Rizzo",2,"Nicole Alamu",718-776-2820,nalamu@schools.nyc.gov
B10E-00395,FRX,"88-07 102 Street","P.S. 273 Queens",27-Q-273,Q273,,N,"Richmond Hill",11418,,No,Yes,"2010-11-03 16:42:00",No,No,No,"Main Entrance",2028-05-01,2026-07-01,key,Y,2024-12-01,2020-09-01,,,32,19,,2026-02-10,"Peter Shikar",8,"Brend Ward",718-286-8300,bward2@schools.nyc.gov
B10E-00567,FRX,"1601 80th Street","New Utrecht High School",20-K-445,,7,N,Brooklyn,11214,,No,Yes,"2017-04-26 11:45:32",No,No,No,PSAL,2026-07-01,2028-05-01,key,N,2028-05-01,2022-09-01,,,38,43,"Out with Coach: 2017-04-24 10:09:35
AED Marked Unavailable 
",2026-01-15,"David Cirillo",24,"Mike Repole",718-265-8209,"mrepole@schools.nyc.gov "
B10E-00626,FRX,"88-07 102 Street","P.S. 273 Queens",27-Q-273,Q273,,N,"Richmond Hill",11418,,No,Yes,,No,No,No,"Outside Room 309",2028-03-01,2028-03-01,key,N,2024-03-01,2029-08-01,,,32,19,"AED beeping; Changed out Pad A. 2/13",2026-02-10,"Peter Shikar",8,"Brend Ward",718-286-8300,bward2@schools.nyc.gov
B10E-00709,FRX,"23-40 Astoria Boulevard ","Academy of the City Middle Charter School",84-Q-359,,,N,Astoria,11102,"off site PE",No,Yes,"2024-06-26 14:55:11",No,No,No,portable,2026-02-01,2026-02-01,,N,2028-10-01,2023-09-01,,,10,14,"Out with Coach: 2023-11-21 13:50:21
Out with Coach: 2026-02-24 11:41:07",2025-09-29,"Peter Shikar",10,"Rory Quinn",718-374-1857,rquinn@academyofthecity.org
